테이블명,컬럼명,한글명,설명,데이터타입,컬럼타입,NULL허용,키워드,카테고리,중요도,search_text
REVINFO,REV,REV,REV 컬럼,bigint,bigint(20),아니오,rev,📋 일반,보통,revinfo rev rev rev 컬럼 rev
REVINFO,REVTSTMP,REVTSTMP,REVTSTMP 컬럼,bigint,bigint(20),예,revtstmp,📋 일반,보통,revinfo revtstmp revtstmp revtstmp 컬럼 revtstmp
actual_loss_contract,actual_loss_contract_id,actual_loss_contract_ID,actual_loss_contract 테이블의 고유 식별자 (PRIMARY KEY),bigint,bigint(20) unsigned,아니오,"actual, 아이디, contract, actual_loss_contract_id, loss, 식별자, id",🔑 식별자,높음,"actual_loss_contract actual_loss_contract_id actual_loss_contract_id actual_loss_contract 테이블의 고유 식별자 (primary key) actual, 아이디, contract, actual_loss_contract_id, loss, 식별자, id"
actual_loss_contract,res_company_nm,res_company_nm,res_company_nm 명칭,varchar,varchar(255),아니오,"res, company, res_company_nm, nm",📋 일반,보통,"actual_loss_contract res_company_nm res_company_nm res_company_nm 명칭 res, company, res_company_nm, nm"
actual_loss_contract,res_company_nm_code,res_company_nm_코드,actual_loss_contract의 코드 값,varchar,varchar(100),예,"code, res, nm, res_company_nm_code, company, 번호, 코드",🔢 코드,보통,"actual_loss_contract res_company_nm_code res_company_nm_코드 actual_loss_contract의 코드 값 code, res, nm, res_company_nm_code, company, 번호, 코드"
actual_loss_contract,res_contract_status,res_contract_상태,"res_contract_상태 (CHAR 타입, YYYYMMDD 형식 - TO_DATE() 필요)",varchar,varchar(255),아니오,"상황, res, status, res_contract_status, 상태, contract",📊 상태,보통,"actual_loss_contract res_contract_status res_contract_상태 res_contract_상태 (char 타입, yyyymmdd 형식 - to_date() 필요) 상황, res, status, res_contract_status, 상태, contract"
actual_loss_contract,res_home_page,res_home_page,res_home_page 컬럼,varchar,varchar(100),예,"res, res_home_page, home, page",📋 일반,보통,"actual_loss_contract res_home_page res_home_page res_home_page 컬럼 res, res_home_page, home, page"
actual_loss_contract,res_insurance_name,res_insurance_이름,res_insurance_이름 명칭,varchar,varchar(255),아니오,"명칭, insurance, res, 이름, res_insurance_name, name",📝 명칭,높음,"actual_loss_contract res_insurance_name res_insurance_이름 res_insurance_이름 명칭 명칭, insurance, res, 이름, res_insurance_name, name"
actual_loss_contract,res_insured_person,res_insured_person,res_insured_person 컬럼,varchar,varchar(255),아니오,"res, res_insured_person, person, insured",📋 일반,보통,"actual_loss_contract res_insured_person res_insured_person res_insured_person 컬럼 res, res_insured_person, person, insured"
actual_loss_contract,res_number,res_번호,res_번호,varchar,varchar(255),아니오,"number, res, res_number",🔢 코드,보통,"actual_loss_contract res_number res_번호 res_번호 number, res, res_number"
actual_loss_contract,res_phone_no,res_전화번호_no,res_전화번호_no,varchar,varchar(100),예,"res, res_phone_no, no, phone",📋 일반,보통,"actual_loss_contract res_phone_no res_전화번호_no res_전화번호_no res, res_phone_no, no, phone"
actual_loss_contract,res_policy_number,res_policy_번호,res_policy_번호,varchar,varchar(255),아니오,"number, res_policy_number, res, policy",🔢 코드,보통,"actual_loss_contract res_policy_number res_policy_번호 res_policy_번호 number, res_policy_number, res, policy"
actual_loss_contract,res_policy_number_hid,res_policy_number_hID,res_policy_number_hID,varchar,varchar(255),아니오,"res_policy_number_hid, 아이디, number, res, policy, 식별자, hid",🔢 코드,보통,"actual_loss_contract res_policy_number_hid res_policy_number_hid res_policy_number_hid res_policy_number_hid, 아이디, number, res, policy, 식별자, hid"
actual_loss_contract,user_id,사용자 ID,환자 고유 식별자 (FOREIGN KEY),bigint,bigint(20) unsigned,아니오,"아이디, user_id, 식별자, id, user",🔑 식별자,높음,"actual_loss_contract user_id 사용자 id 환자 고유 식별자 (foreign key) 아이디, user_id, 식별자, id, user"
actual_loss_contract,res_contract_type,res_contract_타입,"01 - 정액형, 02 - 실손형, 03 - 정액 + 실손형",varchar,varchar(5),예,"type, 종류, res, 유형, 타입, res_contract_type, contract",📋 일반,보통,"actual_loss_contract res_contract_type res_contract_타입 01 - 정액형, 02 - 실손형, 03 - 정액 + 실손형 type, 종류, res, 유형, 타입, res_contract_type, contract"
actual_loss_coverages,actual_loss_coverages_id,actual_loss_coverages_ID,actual_loss_coverages 테이블의 고유 식별자 (PRIMARY KEY),bigint,bigint(20) unsigned,아니오,"actual, 아이디, loss, coverages, actual_loss_coverages_id, 식별자, id",🔑 식별자,높음,"actual_loss_coverages actual_loss_coverages_id actual_loss_coverages_id actual_loss_coverages 테이블의 고유 식별자 (primary key) actual, 아이디, loss, coverages, actual_loss_coverages_id, 식별자, id"
actual_loss_coverages,comm_end_date,comm_end_날짜,actual_loss_coverages 종료 일시,varchar,varchar(200),아니오,"일자, 날짜, comm, comm_end_date, date, end",📅 날짜,보통,"actual_loss_coverages comm_end_date comm_end_날짜 actual_loss_coverages 종료 일시 일자, 날짜, comm, comm_end_date, date, end"
