drug_name,ingredients,usage_count
슈다페드정(슈도에페드린염산염)_(60mg/1정),pseudoephedrine hydrochloride,1468938
소론도정(프레드니솔론)_(5mg/1정),prednisolone,1341477
페니라민정(클로르페니라민말레산염)_(2mg/1정),chlorpheniramine maleate,1192864
펠루비정(펠루비프로펜)_(30mg/1정),pelubiprofen,948132
알마겔정(알마게이트)(수출명:유한가스트라겔정)_(0.5g/1정),almagate,835922
코대원에스시럽_(20mL),ammonium chloride,763299
코대원정(수출명:네오-케이정)_(1정),chlorpheniramine maleate,762728
코푸시럽_(20mL),ammonium chloride,745423
써스펜8시간이알서방정650밀리그램(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),735356
코대원포르테시럽_(20mL),ammonium chloride,718286
슈다펜정(수도에페드린염산염)_(60mg/1정),pseudoephedrine hydrochloride,669422
시네츄라시럽_(15mL),coptis rhizome butanol dried ext.(4.5~7→1),667733
코푸정_(1정),chlorpheniramine maleate,582615
"휴온스리도카인염산염수화물-에피네프린주(1:100,000)[수출명:메디카인주(1:100,000),MEDICAINEINJ.2%(1:100,000),I.M2%,KWANGMYUNGLidocaineHCI·EpinephrineInj.(1:100,000),doton(1:100,000)]_(1.8mL)",epinephrine bitartrate (as epinephrine),571618
"모티리톤정_(현호색·견우자(5:1) 50% 에탄올 연조엑스(9.5~11.5→1), 30mg/1정)",corydalis tuber·pharbitis seed(5:1) 50% ethanol ext.(9.5~11.5→1),562354
후라시닐정(메트로니다졸)_(0.25g/1정),metronidazole,532853
코데날정_(1정),chlorpheniramine maleate,520051
타이레놀8시간이알서방정(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),483227
코슈정(슈도에페드린염산염)_(60mg/1정),pseudoephedrine hydrochloride,474259
인데놀정10mg(프로프라놀롤염산염)_(10mg/1정),propranolol hydrochloride,471741
투리온정(베포타스틴베실산염)_(10mg/1정),bepotastine besilate,471106
피디정(메틸프레드니솔론)_(4mg/1정),methylprednisolone,463078
제일덱사메타손주사액(덱사메타손포스페이트이나트륨)_(5mg/1mL),dexamethasone disodium phosphate,461006
