1category,code,disease_names,patient_count,occurrence_count
unique_disease_codes,$,"[""해당없음"",""""]",1107742,10199367
unique_disease_codes,AJ209,"[""(양방)상세불명의 급성 기관지염"",""""]",672707,3270728
unique_disease_codes,AU071,"["""",""(양방)바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19]""]",577235,1449169
unique_disease_codes,AK0530,"[""(양방)만성 단순치주염""]",484898,1141174
unique_disease_codes,AU072,"["""",""(양방)바이러스가 확인되지 않은 코로나바이러스 질환 2019 [바이러스가 확인되지 않은 코로나-19]""]",296033,638210
unique_disease_codes,AK0531,"["""",""(양방)만성 복합치주염""]",277265,819967
unique_disease_codes,AJ00,"[""(양방)급성 비인두염[감기]"",""""]",262735,692288
unique_disease_codes,AK0510,"[""(양방)만성 단순 변연부 치은염""]",262356,385808
unique_disease_codes,AJ029,"[""(양방)상세불명의 급성 인두염""]",261405,719656
unique_disease_codes,AZ115,"[""(양방)기타 바이러스질환에 대한 특수선별검사""]",249455,499198
unique_disease_codes,AJ0390,"["""",""(양방)재발성으로 명시되어 있지 않은 상세불명의 급성 편도염""]",235653,684205
unique_disease_codes,AJ304,"[""(양방)상세불명의 알레르기비염"",""""]",234370,761450
unique_disease_codes,AK021,"[""(양방)상아질의 우식""]",217567,373371
unique_disease_codes,AJ060,"[""(양방)급성 후두인두염""]",211112,612441
unique_disease_codes,AK297,"["""",""(양방)상세불명의 위염""]",195285,451742
unique_disease_codes,AA099,"[""(양방)상세불명 기원의 위장염 및 결장염""]",192926,450787
unique_disease_codes,AK210,"["""",""(양방)식도염을 동반한 위-식도역류병""]",189286,576087
unique_disease_codes,AL239,"["""",""(양방)상세불명 원인의 알레르기성 접촉피부염""]",173102,538351
unique_disease_codes,AJ069,"[""(양방)상세불명의 급성 상기도감염""]",161386,392158
unique_disease_codes,AS3350,"[""(양방)요추의 염좌 및 긴장""]",154953,536959
unique_disease_codes,AM5456,"[""(양방)요통, 요추부"",""(양방)요통 요추부"",""""]",145163,576313
unique_disease_codes,AK219,"[""(양방)식도염을 동반하지 않은 위-식도역류병""]",143751,393428
unique_disease_codes,AJ303,"[""(양방)기타 알레르기비염""]",141743,421249
unique_disease_codes,AK01173,"["""",""(양방)하악제3대구치의 매복""]",139108,355444
unique_disease_codes,AJ40,"[""(양방)급성인지 만성인지 명시되지 않은 기관지염"",""""]",133199,368748
unique_disease_codes,AZ208,"["""",""(양방)기타 전염성 질환에 접촉 및 노출""]",132076,226400
unique_disease_codes,AJ040,"[""(양방)급성 후두염""]",128481,363548
unique_disease_codes,AK291,"["""",""(양방)기타 급성 위염""]",126351,281886
unique_disease_codes,AK0401,"["""",""(양방)비가역적 치수염""]",125857,494162
unique_disease_codes,AA090,"["""",""(양방)감염성 기원의 기타 및 상세불명의 위장염 및 결장염""]",124996,276204
unique_disease_codes,AI109,"[""(양방)기타 및 상세불명의 원발성 고혈압"",""""]",120789,2296937
unique_disease_codes,AH0411,"["""",""(양방)건성안증후군""]",120198,339179
unique_disease_codes,AM5422,"[""(양방)경추통, 경부"",""(양방)경추통 경부""]",113047,465039
unique_disease_codes,BS3350,"[""(한방)요추의 염좌 및 긴장"",""""]",106890,393962
unique_disease_codes,AJ0190,"[""(양방)재발성으로 명시되어 있지 않은 상세불명의 급성 부비동염"",""""]",104600,321781
unique_disease_codes,AR1049,"[""(양방)상세불명의 복통"",""""]",95832,183275
unique_disease_codes,AH101,"[""(양방)급성 아토피결막염""]",95420,253450
unique_disease_codes,AN72,"[""(양방)자궁경부의 염증성 질환"",""""]",92590,275908
unique_disease_codes,AS134,"[""(양방)경추의 염좌 및 긴장"",""""]",89332,273681
unique_disease_codes,AR51,"[""(양방)두통"",""""]",86020,194108
unique_disease_codes,AJ101,"["""",""(양방)계절성 인플루엔자바이러스가 확인된, 기타 호흡기 증상을 동반한 인플루엔자"",""(양방)계절성 인플루엔자바이러스가 확인된 기타 호흡기 증상을 동반한 인플루엔자""]",84155,151859
unique_disease_codes,AK028,"[""(양방)기타 치아우식""]",82185,132271
unique_disease_codes,AM511,"[""(양방)신경뿌리병증을 동반한 요추 및 기타 추간판장애(G55.1*)""]",78453,449930
unique_disease_codes,AN760,"[""(양방)급성 질염""]",78299,244470
unique_disease_codes,AK529,"["""",""(양방)상세불명의 비감염성 위장염 및 결장염""]",75143,150763
unique_disease_codes,AK296,"[""(양방)기타 위염""]",73814,151718
unique_disease_codes,AK635,"[""(양방)결장의 폴립""]",73466,122491
unique_disease_codes,BS134,"[""(한방)경추의 염좌 및 긴장""]",71870,232195
unique_disease_codes,AN300,"[""(양방)급성 방광염""]",71145,224115
unique_disease_codes,BM5456,"["""",""(한방)요통 요추부"",""(한방)요통, 요추부""]",70631,277313
unique_disease_codes,AM79108,"["""",""(양방)기타 근통, 여러 부위"",""(양방)기타 근통 여러 부위""]",70295,146136
unique_disease_codes,AS9348,"["""",""(양방)발목의 기타 부분의 염좌 및 긴장""]",69638,201993
unique_disease_codes,AL238,"[""(양방)기타 요인에 의한 알레르기성 접촉피부염"",""""]",67446,196332
unique_disease_codes,AE785,"["""",""(양방)상세불명의 고지질혈증""]",66392,347290
unique_disease_codes,AS9349,"["""",""(양방)발목의 상세불명 부분의 염좌 및 긴장""]",64872,183539
unique_disease_codes,AS836,"[""(양방)무릎의 기타 및 상세불명 부분의 염좌 및 긴장"",""""]",63887,189799
unique_disease_codes,AL500,"[""(양방)알레르기성 두드러기""]",63563,173568
unique_disease_codes,AB373,"[""(양방)외음 및 질의 칸디다증(N77.1*)""]",62470,189883
unique_disease_codes,AJ329,"[""(양방)상세불명의 만성 부비동염""]",59800,192613
unique_disease_codes,AK30,"[""(양방)기능성 소화불량"",""""]",59568,119687
unique_disease_codes,AK599,"[""(양방)상세불명의 기능성 장장애""]",59521,113977
unique_disease_codes,AJ042,"["""",""(양방)급성 후두기관염""]",59414,151278
unique_disease_codes,AL249,"[""(양방)상세불명 원인의 자극물접촉피부염"",""""]",59010,158680
unique_disease_codes,AJ0100,"[""(양방)재발성으로 명시되어 있지 않은 급성 상악동염"",""""]",57958,164873
unique_disease_codes,AH0001,"[""(양방)내맥립종""]",57741,133967
unique_disease_codes,AL309,"[""(양방)상세불명의 피부염"",""""]",57327,156381
unique_disease_codes,AK047,"[""(양방)동이 없는 근단주위농양"",""""]",56722,180680
