category,name,code,patient_count,occurrence_count,first_occurrence,last_occurrence
unique_diseases,해당없음,$,1107741,10199356,20200101,20250823
unique_diseases,(양방)상세불명의 급성 기관지염,AJ209,672429,3269800,20200101,20250814
unique_diseases,(양방)바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19],AU071,576898,1448415,20200209,20250731
unique_diseases,(양방)만성 단순치주염,AK0530,484898,1141174,20200101,20250801
unique_diseases,(양방)바이러스가 확인되지 않은 코로나바이러스 질환 2019 [바이러스가 확인되지 않은 코로나-19],AU072,295870,637849,20200304,20250628
unique_diseases,(양방)만성 복합치주염,AK0531,277264,819965,20200101,20250731
unique_diseases,(양방)급성 비인두염[감기],AJ00,262610,692045,20200101,20250806
unique_diseases,(양방)만성 단순 변연부 치은염,AK0510,262356,385808,20200102,20250730
unique_diseases,(양방)상세불명의 급성 인두염,AJ029,261405,719656,20200101,20250814
unique_diseases,(양방)기타 바이러스질환에 대한 특수선별검사,AZ115,249455,499198,20200130,20250623
unique_diseases,(양방)재발성으로 명시되어 있지 않은 상세불명의 급성 편도염,AJ0390,235543,683933,20200101,20250818
unique_diseases,(양방)상세불명의 알레르기비염,AJ304,234369,761441,20200101,20250811
unique_diseases,(양방)상아질의 우식,AK021,217567,373371,20200102,20250730
unique_diseases,(양방)급성 후두인두염,AJ060,211112,612441,20200101,20250803
unique_diseases,(양방)상세불명의 위염,AK297,195187,451507,20200101,20250814
unique_diseases,(양방)상세불명 기원의 위장염 및 결장염,AA099,192926,450787,20200101,20250731
unique_diseases,(양방)식도염을 동반한 위-식도역류병,AK210,189183,575797,20200101,20250814
unique_diseases,(양방)상세불명 원인의 알레르기성 접촉피부염,AL239,172996,538018,20200102,20250821
unique_diseases,(양방)상세불명의 급성 상기도감염,AJ069,161386,392158,20200101,20250801
unique_diseases,(양방)요추의 염좌 및 긴장,AS3350,154953,536959,20200101,20250816
unique_diseases,(양방)식도염을 동반하지 않은 위-식도역류병,AK219,143751,393428,20200101,20250814
unique_diseases,(양방)기타 알레르기비염,AJ303,141743,421249,20200101,20250728
unique_diseases,(양방)하악제3대구치의 매복,AK01173,138989,355128,20200102,20250730
unique_diseases,(양방)급성인지 만성인지 명시되지 않은 기관지염,AJ40,133198,368747,20200101,20250801
unique_diseases,(양방)기타 전염성 질환에 접촉 및 노출,AZ208,131990,226260,20200129,20250624
unique_diseases,(양방)급성 후두염,AJ040,128481,363548,20200101,20250818
unique_diseases,(양방)기타 급성 위염,AK291,126282,281555,20200101,20250731
unique_diseases,(양방)비가역적 치수염,AK0401,125771,493837,20200101,20250731
unique_diseases,(양방)감염성 기원의 기타 및 상세불명의 위장염 및 결장염,AA090,124922,276042,20200101,20250731
unique_diseases,(양방)기타 및 상세불명의 원발성 고혈압,AI109,120727,2295848,20200101,20250814
unique_diseases,(양방)건성안증후군,AH0411,120198,339178,20200101,20250813
unique_diseases,(양방)요통 요추부,AM5456,118379,473294,20200917,20250808
