category,name,ingredients,patient_count,prescription_count,first_prescription,last_prescription
unique_drugs,슈다페드정(슈도에페드린염산염)_(60mg/1정),pseudoephedrine hydrochloride,312329,1368303,20200101,20250731
unique_drugs,소론도정(프레드니솔론)_(5mg/1정),prednisolone,277195,1237387,20200101,20250819
unique_drugs,페니라민정(클로르페니라민말레산염)_(2mg/1정),chlorpheniramine maleate,270189,1105865,20200101,20250812
unique_drugs,써스펜8시간이알서방정650밀리그램(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),224285,680828,20200101,20250723
unique_drugs,펠루비정(펠루비프로펜)_(30mg/1정),pelubiprofen,218599,880767,20200101,20250804
unique_drugs,코대원정(수출명:네오-케이정)_(1정),chlorpheniramine maleate,209485,712610,20200101,20250727
unique_drugs,"휴온스리도카인염산염수화물-에피네프린주(1:100,000)[수출명:메디카인주(1:100,000),MEDICAINEINJ.2%(1:100,000),I.M2%,KWANGMYUNGLidocaineHCI·EpinephrineInj.(1:100,000),doton(1:100,000)]_(1.8mL)",epinephrine bitartrate (as epinephrine),202954,524850,20200101,20250726
unique_drugs,코푸시럽_(20mL),ammonium chloride,200470,694095,20200101,20250730
unique_drugs,알마겔정(알마게이트)(수출명:유한가스트라겔정)_(0.5g/1정),almagate,200069,769788,20200101,20250804
unique_drugs,제일덱사메타손주사액(덱사메타손포스페이트이나트륨)_(5mg/1mL),dexamethasone disodium phosphate,199248,423952,20200101,20250804
unique_drugs,코대원포르테시럽_(20mL),ammonium chloride,192409,670309,20200101,20250723
unique_drugs,코대원에스시럽_(20mL),ammonium chloride,187735,711083,20201005,20250804
unique_drugs,시네츄라시럽_(15mL),coptis rhizome butanol dried ext.(4.5~7→1),181968,623195,20200101,20250801
unique_drugs,코푸정_(1정),chlorpheniramine maleate,161171,543097,20200101,20250818
unique_drugs,슈다펜정(수도에페드린염산염)_(60mg/1정),pseudoephedrine hydrochloride,159776,625860,20200101,20250729
unique_drugs,타세놀8시간이알서방정(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated),159364,418852,20200101,20250731
